industry	workflow	failure	diagnosis	evidence_gathering	decision	correction	approval	resubmission	closure	actual_operational_behavior	candidate_relevance
Educational services	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Educational services	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Fabricated metal products	Estimating and Quotation	Estimating and Quotation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Fabricated metal products	Production Planning	Production Planning cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Fabricated metal products	Shop Floor Execution and Quality Management	Shop Floor Execution and Quality Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Fabricated metal products	Quality Inspection and Certification	Quality Inspection and Certification cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Fabricated metal products	Shipping and Invoice Reconciliation	Shipping and Invoice Reconciliation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Fabricated metal products	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Fabricated metal products	Billing, settlement, and close	Billing, settlement, and close cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Fabricated metal products	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Fabricated metal products	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Fabricated metal products	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Oil and gas extraction	Asset and Reserve Evaluation	Asset and Reserve Evaluation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Oil and gas extraction	Field Development Planning	Field Development Planning cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Oil and gas extraction	Production Operations	Production Operations cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Oil and gas extraction	Midstream Coordination	Midstream Coordination cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Oil and gas extraction	Revenue and Regulatory Reporting	Revenue and Regulatory Reporting cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Oil and gas extraction	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Oil and gas extraction	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Oil and gas extraction	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Oil and gas extraction	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Oil and gas extraction	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Oil and gas extraction	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Machinery	Product and Engineering Configuration	Product and Engineering Configuration cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Machinery	Supplier Scheduling and Procurement	Supplier Scheduling and Procurement cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Machinery	Assembly and Test	Assembly and Test cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Machinery	Logistics and Channel Fulfillment	Logistics and Channel Fulfillment cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Machinery	Aftermarket Service and Field Support	Aftermarket Service and Field Support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Machinery	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Machinery	Billing, settlement, and close	Billing, settlement, and close cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Machinery	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Machinery	Compliance, reporting, and audit support	Compliance, reporting, and audit support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Machinery	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Other transportation equipment	Program and Platform Planning	Program and Platform Planning cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other transportation equipment	Supplier Coordination and Compliance	Supplier Coordination and Compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other transportation equipment	Assembly, Test, and Certification	Assembly, Test, and Certification cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other transportation equipment	Delivery and Contract Milestone Management	Delivery and Contract Milestone Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Other transportation equipment	Aftermarket Service and Field Support	Aftermarket Service and Field Support cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other transportation equipment	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other transportation equipment	Billing, settlement, and close	Billing, settlement, and close cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Other transportation equipment	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Other transportation equipment	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Computer and electronic products	Demand and Allocation Planning	Demand and Allocation Planning cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Computer and electronic products	Engineering Change Management	Engineering Change Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	KILL-candidate
Computer and electronic products	Shop Floor Execution and Quality Management	Shop Floor Execution and Quality Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Computer and electronic products	Quality and Traceability Management	Quality and Traceability Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Computer and electronic products	Logistics and Channel Fulfillment	Logistics and Channel Fulfillment cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Computer and electronic products	Lead, intake, and qualification management	Lead, intake, and qualification management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Computer and electronic products	Billing, settlement, and close	Billing, settlement, and close cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Computer and electronic products	Workforce planning, assignment, and time capture	Workforce planning, assignment, and time capture cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Computer and electronic products	Supplier, vendor, or partner onboarding and compliance	Supplier, vendor, or partner onboarding and compliance cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Computer and electronic products	Customer, participant, or stakeholder communication and escalation	Customer, participant, or stakeholder communication and escalation cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Computer and electronic products	Exception, dispute, and recovery handling	Exception, dispute, and recovery handling cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
Accommodation	Reservation and Distribution Management	Reservation and Distribution Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Not pursued
Accommodation	Revenue Management	Revenue Management cannot move forward cleanly.	Review the workflow state, recent handoff, and source records.	Collect the supporting documents, transaction records, and stakeholder context needed to explain the break.	Decide whether to correct data, reroute work, escalate, or absorb the issue.	Update the workflow record, attach missing support, or restage the process.	Secure internal or external approval where the workflow requires it.	Resend the corrected record or restart the blocked step.	Close the issue only when downstream flow resumes or the exception is accepted.	In practice, recovery usually relies on spreadsheets, email, calls, and side notes outside the system of record.	Supporting workflow
