workflow_name,workflow_family,operating_systems,industries_using_this_workflow,industry_count,primary_structural_failure_code,primary_structural_failure_name,secondary_structural_failure_codes,secondary_structural_failure_names,all_selected_failure_codes,all_selected_failure_names,selected_failure_score_breakdown,full_score_breakdown,dominant_root_cause,economic_leakage_summary,time_leakage_summary,human_judgment_summary,system_of_record_escape_summary,why_it_persists_summary,workflow_document
Lead Intake and Scheduling,"Access, Intake, and Contracting",Workforce Coordination and Service Operations,"Other services, except government",1,SF-03,Decision Context Escapes the Record,SF-01 | SF-05,Exception-Path Breakdown | Handoff and Approval Latency,SF-03 | SF-01 | SF-05,Decision Context Escapes the Record | Exception-Path Breakdown | Handoff and Approval Latency,SF-03:15.0 | SF-01:13.0 | SF-05:8.0,SF-03:15.0 | SF-01:13.0 | SF-05:8.0 | SF-04:6.0 | SF-07:5.0 | SF-06:2.0 | SF-08:1.0,Organizational,"Leakage starts with avoidable denials, no-shows, unused capacity, and mis-routed participants.","Teams repeatedly collect the same history and chase coverage, paperwork, and schedule coordination.","Staff balance urgency, fit, and operational constraints under incomplete documentation.","Phone calls, scanned documents, and message threads still carry the real intake context.","Eligibility and access rules can be encoded, but edge cases and capacity realities still require manual orchestration. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/lead-intake-and-scheduling.md
Lead Management and Sales,"Access, Intake, and Contracting",Retail and Service Commerce,Motor vehicle and parts dealers,1,SF-03,Decision Context Escapes the Record,SF-05,Handoff and Approval Latency,SF-03 | SF-05,Decision Context Escapes the Record | Handoff and Approval Latency,SF-03:12.0 | SF-05:6.0,SF-03:12.0 | SF-05:6.0 | SF-04:4.0 | SF-01:3.0,Behavioral,"Poor qualification, weak follow-up, and over-discounting waste selling capacity and suppress win rates.","Commercial teams lose time assembling context, chasing stakeholders, and rebuilding proposals from prior deals.","Win probability, account politics, and deal strategy still sit heavily in human judgment.","Critical context lives in email, notes, calls, and ad hoc documents outside the CRM fields.","CRM structures pipeline data, but deal progression still depends on relationship context and bespoke coordination. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/lead-management-and-sales.md
Lead and Proposal Management,"Access, Intake, and Contracting",Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services | Computer systems design and related services",2,SF-03,Decision Context Escapes the Record,SF-05,Handoff and Approval Latency,SF-03 | SF-05,Decision Context Escapes the Record | Handoff and Approval Latency,SF-03:12.0 | SF-05:6.0,SF-03:12.0 | SF-05:6.0 | SF-04:4.0 | SF-01:3.0,Behavioral,"Poor qualification, weak follow-up, and over-discounting waste selling capacity and suppress win rates.","Commercial teams lose time assembling context, chasing stakeholders, and rebuilding proposals from prior deals.","Win probability, account politics, and deal strategy still sit heavily in human judgment.","Critical context lives in email, notes, calls, and ad hoc documents outside the CRM fields.","CRM structures pipeline data, but deal progression still depends on relationship context and bespoke coordination. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/lead-and-proposal-management.md
Lease Acquisition and Pipeline Management,"Access, Intake, and Contracting",Asset Utilization and Lease Management,Other real estate,1,SF-06,Plan vs. Reality Divergence,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-06 | SF-03 | SF-01,Plan vs. Reality Divergence | Decision Context Escapes the Record | Exception-Path Breakdown,SF-06:11.5 | SF-03:10.0 | SF-01:9.0,SF-06:11.5 | SF-03:10.0 | SF-01:9.0 | SF-05:8.0 | SF-08:6.0 | SF-04:4.5 | SF-02:1.0,Legacy Architecture,"Vacancy, poor renewal timing, weak concessions discipline, and slow readiness cycles directly reduce yield.","Leasing teams spend time coordinating tours, approvals, readiness updates, and status checks across systems.","Staff balance occupancy goals, asset condition, pricing power, and relationship context when deciding terms.","Negotiation details, readiness notes, and exceptions live in email, call logs, and side trackers.","The workflow spans commercial negotiation, physical readiness, and revenue optimization rather than a single clean transaction. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/lease-acquisition-and-pipeline-management.md
Lease Acquisition and Renewal,"Access, Intake, and Contracting",Asset Utilization and Lease Management,Housing,1,SF-06,Plan vs. Reality Divergence,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-06 | SF-03 | SF-01,Plan vs. Reality Divergence | Decision Context Escapes the Record | Exception-Path Breakdown,SF-06:11.5 | SF-03:10.0 | SF-01:9.0,SF-06:11.5 | SF-03:10.0 | SF-01:9.0 | SF-05:8.0 | SF-08:6.0 | SF-04:4.5 | SF-02:1.0,Legacy Architecture,"Vacancy, poor renewal timing, weak concessions discipline, and slow readiness cycles directly reduce yield.","Leasing teams spend time coordinating tours, approvals, readiness updates, and status checks across systems.","Staff balance occupancy goals, asset condition, pricing power, and relationship context when deciding terms.","Negotiation details, readiness notes, and exceptions live in email, call logs, and side trackers.","The workflow spans commercial negotiation, physical readiness, and revenue optimization rather than a single clean transaction. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/lease-acquisition-and-renewal.md
Load Forecasting and Dispatch,Network and Transportation Operations,Network Infrastructure Operations,Utilities,1,SF-06,Plan vs. Reality Divergence,SF-08 | SF-03,Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06 | SF-08 | SF-03,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06:18.0 | SF-08:13.5 | SF-03:6.0,SF-06:18.0 | SF-08:13.5 | SF-03:6.0 | SF-04:5.0 | SF-01:1.0 | SF-05:1.0,Technical,"The biggest leaks are empty capacity, bad routing, detention, and poor network utilization.","Dispatchers lose time chasing status, making call-based updates, and rerouting around late disruptions.",Controllers interpret service priorities and real-world constraints faster than static optimization models.,"Carrier calls, texts, and manual route notes remain central to live execution.","Network state changes in real time and often depends on partner data that is late, partial, or nonstandard. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/load-forecasting-and-dispatch.md
Load Intake and Booking,"Access, Intake, and Contracting",Transportation Network Operations,Other transportation and support activities,1,SF-01,Exception-Path Breakdown,SF-03,Decision Context Escapes the Record,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-01:7.0 | SF-03:6.0,SF-01:7.0 | SF-03:6.0 | SF-04:4.0 | SF-05:4.0 | SF-08:3.0 | SF-06:2.0 | SF-02:1.0,Technical,"Leakage comes from spoilage, bad holds, channel mix mistakes, refunds, and poor yield control.","Teams burn time resolving inventory conflicts, special requests, and distribution-channel mismatches.","Operators still decide how to recover service, override inventory, and handle edge-case customers.","Special handling moves through calls, guest notes, and partner channels outside the clean reservation record.","Inventory can be digitized, but exception-heavy capacity control and live service recovery still depend on people. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/load-intake-and-booking.md
Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations | Process Manufacturing and Throughput Control,"Motor vehicles, bodies and trailers, and parts | Machinery | Computer and electronic products | Plastics and rubber products | Paper products",5,SF-01,Exception-Path Breakdown,SF-03 | SF-06,Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01 | SF-03 | SF-06,Exception-Path Breakdown | Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01:14.0 | SF-03:11.0 | SF-06:6.0,SF-01:14.0 | SF-03:11.0 | SF-06:6.0 | SF-04:3.0 | SF-02:1.0 | SF-05:1.0,Legacy Architecture,"Leakage shows up in split orders, mispicks, returns, expedites, and fulfillment promises that outrun actual capacity.","Teams chase inventory truth, release status, and downstream transport updates across systems.","Operators still decide how to recover shortages, prioritize customers, and manage substitutions.","Exception handling often happens through email, calls, and local trackers outside the formal order flow.","Order orchestration spans inventory, warehouse, transport, and customer systems with different clocks and constraints. It typically spans 2 operating-system contexts and 7 systems-of-record categories.",knowledge/research/workflow-library/workflows/logistics-and-channel-fulfillment.md
Loyalty and Settlement Accounting,Finance and Revenue Operations,Transportation Network Operations,Air transportation,1,SF-02,Cross-System Reconciliation,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-02 | SF-01 | SF-03,Cross-System Reconciliation | Exception-Path Breakdown | Decision Context Escapes the Record,SF-02:23.5 | SF-01:16.0 | SF-03:14.0,SF-02:23.5 | SF-01:16.0 | SF-03:14.0 | SF-04:11.0 | SF-08:4.0 | SF-07:2.0,Legacy Architecture,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 3 systems-of-record categories.,knowledge/research/workflow-library/workflows/loyalty-and-settlement-accounting.md
Loyalty and Settlement Management,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",1,SF-02,Cross-System Reconciliation,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-02 | SF-01 | SF-03,Cross-System Reconciliation | Exception-Path Breakdown | Decision Context Escapes the Record,SF-02:23.5 | SF-01:16.0 | SF-03:14.0,SF-02:23.5 | SF-01:16.0 | SF-03:14.0 | SF-04:11.0 | SF-08:4.0 | SF-07:2.0,Legacy Architecture,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/loyalty-and-settlement-management.md
Maintenance and Guest Service,Customer and Experience Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,1,SF-04,Human Judgment Under Incomplete Information,SF-01 | SF-05,Exception-Path Breakdown | Handoff and Approval Latency,SF-04 | SF-01 | SF-05,Human Judgment Under Incomplete Information | Exception-Path Breakdown | Handoff and Approval Latency,SF-04:16.0 | SF-01:14.0 | SF-05:10.0,SF-04:16.0 | SF-01:14.0 | SF-05:10.0 | SF-03:8.0 | SF-08:1.0,Organizational,"Repeat contacts, credits, field callbacks, and unresolved issues raise support cost and churn risk.",Agents and operations teams waste time on status chasing and duplicate handoffs.,"Good service recovery depends on empathy, prioritization, and contextual interpretation.","The most important context often lives in conversations, notes, and side chats rather than system fields.","Support flows cross channels and teams, and the edge cases that matter most remain unstructured. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/maintenance-and-guest-service.md
Maintenance and Turnaround Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Petroleum and coal products,1,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-03,Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04 | SF-06 | SF-03,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Decision Context Escapes the Record,SF-04:14.0 | SF-06:13.0 | SF-03:8.0,SF-04:14.0 | SF-06:13.0 | SF-03:8.0 | SF-02:1.0,Legacy Architecture,"Leakage comes from downtime, repeat failures, poor work scope, and weak turnover discipline.","Teams chase parts, permits, technician availability, and asset-history context.","Maintenance leaders still assess condition, risk, and repair tradeoffs beyond simple rules.","Readiness and outage details are frequently tracked in calls, notes, and local sheets outside the CMMS.","Maintenance systems track work orders, but true readiness still depends on fragmented context and field judgment. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/maintenance-and-turnaround-management.md
Margin and Shrink Management,Finance and Revenue Operations,Retail and Service Commerce,Food and beverage stores,1,SF-01,Exception-Path Breakdown,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-01 | SF-03 | SF-02,Exception-Path Breakdown | Decision Context Escapes the Record | Cross-System Reconciliation,SF-01:20.5 | SF-03:14.0 | SF-02:10.0,SF-01:20.5 | SF-03:14.0 | SF-02:10.0 | SF-08:9.0 | SF-04:6.0 | SF-07:5.0,Legacy Architecture,"Missed charges, denial cycles, underbilling, and slow cash application are the primary leakage points.","Teams repeatedly reconcile source evidence, payer rules, and customer-specific exceptions.","Operators interpret contract nuance, collection strategy, and what evidence is enough to close the item.","Collections context and exception history often live in email, payer portals, and spreadsheets outside the core system.","Automation handles the clean path, but exceptions are driven by messy upstream data and contract interpretation. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/margin-and-shrink-management.md
"Margin, Safety, and Emissions Reporting","Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Petroleum and coal products,1,SF-07,Compliance and Evidence Burden,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07 | SF-04 | SF-03,Compliance and Evidence Burden | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-07:23.5 | SF-04:14.0 | SF-03:10.5,SF-07:23.5 | SF-04:14.0 | SF-03:10.5 | SF-01:7.0 | SF-02:1.0,Regulatory,"Failures, recalls, rework, and excess inspection labor are the major leakage points.","Teams repeat data entry, collect evidence manually, and wait on disposition decisions.","Inspectors still interpret severity, traceability gaps, and acceptable release decisions.","Evidence often sits in attachments, lab systems, spreadsheets, and manual checklists outside the main record.","Standards are formal, but real-world deviations and root-cause interpretation remain human-heavy. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/margin-safety-and-emissions-reporting.md
"Marketing, Hedging, and Program Reporting",Finance and Revenue Operations,Field Production and Resource Extraction,Farms,1,SF-01,Exception-Path Breakdown,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-01 | SF-03 | SF-02,Exception-Path Breakdown | Decision Context Escapes the Record | Cross-System Reconciliation,SF-01:20.5 | SF-03:14.0 | SF-02:10.0,SF-01:20.5 | SF-03:14.0 | SF-02:10.0 | SF-08:9.0 | SF-04:6.0 | SF-07:5.0,Legacy Architecture,"Missed charges, denial cycles, underbilling, and slow cash application are the primary leakage points.","Teams repeatedly reconcile source evidence, payer rules, and customer-specific exceptions.","Operators interpret contract nuance, collection strategy, and what evidence is enough to close the item.","Collections context and exception history often live in email, payer portals, and spreadsheets outside the core system.","Automation handles the clean path, but exceptions are driven by messy upstream data and contract interpretation. It typically spans 1 operating-system context and 2 systems-of-record categories.",knowledge/research/workflow-library/workflows/marketing-hedging-and-program-reporting.md
Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control | Product Manufacturing and Lifecycle Operations,Food and beverage and tobacco products | Chemical products | Petroleum and coal products | Primary metals | Plastics and rubber products | Paper products,6,SF-08,Multi-Party Trust and Dependency Gaps,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-08 | SF-03 | SF-01,Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record | Exception-Path Breakdown,SF-08:14.0 | SF-03:9.0 | SF-01:7.0,SF-08:14.0 | SF-03:9.0 | SF-01:7.0 | SF-04:2.0 | SF-05:2.0 | SF-06:1.0,Economic,"Leakage appears through rush buys, stockouts, overbuying, and weak term control.","Buyers spend time chasing confirmations, comparing suppliers, and repairing plan mismatches.",Source selection and expedites still rely on local knowledge and changing supplier behavior.,Exception discussions and commitments often move into email and supplier portals beyond the ERP trail.,"Procurement tools are strong on structured buying, but supply volatility and exception-driven replenishment remain stubborn. It typically spans 2 operating-system contexts and 7 systems-of-record categories.",knowledge/research/workflow-library/workflows/material-sourcing.md
Matter Intake and Conflict Review,"Access, Intake, and Contracting",Professional Services and Matter Management,Legal services,1,SF-01,Exception-Path Breakdown,SF-03 | SF-05,Decision Context Escapes the Record | Handoff and Approval Latency,SF-01 | SF-03 | SF-05,Exception-Path Breakdown | Decision Context Escapes the Record | Handoff and Approval Latency,SF-01:12.0 | SF-03:12.0 | SF-05:10.0,SF-01:12.0 | SF-03:12.0 | SF-05:10.0 | SF-04:7.0 | SF-08:1.5,Organizational,"Poor qualification, pricing errors, avoidable no-shows, and weak contract hygiene create leakage before execution starts.","Teams chase missing information, approvals, and schedule availability across email, phone, and shared documents.","Humans still arbitrate exceptions, fit, urgency, and risk tolerance when intake data is incomplete or context is changing.","Critical context lives in inboxes, call notes, PDFs, and spreadsheets before the final system record is updated.","Structured fields handle the routine path, but real intake varies by exception, policy nuance, and local operating context. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/matter-intake-and-conflict-review.md
Medication and Compliance Management,Clinical and Case Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,1,SF-04,Human Judgment Under Incomplete Information,SF-07,Compliance and Evidence Burden,SF-04 | SF-07,Human Judgment Under Incomplete Information | Compliance and Evidence Burden,SF-04:10.0 | SF-07:9.0,SF-04:10.0 | SF-07:9.0 | SF-03:4.0 | SF-05:4.0 | SF-01:1.0 | SF-08:1.0,Behavioral,"Leakage appears through avoidable readmissions, failed adherence, and unbillable documentation gaps.","Teams spend time on outreach, refill coordination, and manual follow-up loops.","Medication decisions still depend on severity, tolerance, behavior, and contextual risk.","Call logs, refill messages, and compliance notes often live outside the structured medication record.","Medication management is highly regulated and behavior-heavy, so closed-loop automation remains incomplete. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/medication-and-compliance-management.md
Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,Other retail | Food and beverage stores | General merchandise stores,3,SF-06,Plan vs. Reality Divergence,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-04,Plan vs. Reality Divergence | Human Judgment Under Incomplete Information,SF-06:10.0 | SF-04:6.0,SF-06:10.0 | SF-04:6.0 | SF-03:3.0 | SF-05:1.0,Technical,"Misallocation drives stockouts, markdowns, carrying cost, and lost working capital productivity.",Teams spend time reconciling stock truth and coordinating transfers or aged inventory action.,Operators still judge local demand and whether aged stock can truly move through the planned channel.,Inventory decisions are often managed in spreadsheets and store communications outside the planning system.,"System optimization struggles when demand is local, seasonal, and only partly observable in real time. It typically spans 1 operating-system context and 6 systems-of-record categories.",knowledge/research/workflow-library/workflows/merchandising-and-assortment-planning.md
Meter-to-Cash,Finance and Revenue Operations,Network Infrastructure Operations,Utilities,1,SF-01,Exception-Path Breakdown,SF-03 | SF-02,Decision Context Escapes the Record | Cross-System Reconciliation,SF-01 | SF-03 | SF-02,Exception-Path Breakdown | Decision Context Escapes the Record | Cross-System Reconciliation,SF-01:20.5 | SF-03:14.0 | SF-02:10.0,SF-01:20.5 | SF-03:14.0 | SF-02:10.0 | SF-08:9.0 | SF-04:6.0 | SF-07:5.0,Legacy Architecture,"Missed charges, denial cycles, underbilling, and slow cash application are the primary leakage points.","Teams repeatedly reconcile source evidence, payer rules, and customer-specific exceptions.","Operators interpret contract nuance, collection strategy, and what evidence is enough to close the item.","Collections context and exception history often live in email, payer portals, and spreadsheets outside the core system.","Automation handles the clean path, but exceptions are driven by messy upstream data and contract interpretation. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/meter-to-cash.md
Midstream Coordination,Network and Transportation Operations,Field Production and Resource Extraction,Oil and gas extraction,1,SF-06,Plan vs. Reality Divergence,SF-08 | SF-03,Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06 | SF-08 | SF-03,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06:18.0 | SF-08:13.5 | SF-03:6.0,SF-06:18.0 | SF-08:13.5 | SF-03:6.0 | SF-04:5.0 | SF-01:1.0 | SF-05:1.0,Technical,"The biggest leaks are empty capacity, bad routing, detention, and poor network utilization.","Dispatchers lose time chasing status, making call-based updates, and rerouting around late disruptions.",Controllers interpret service priorities and real-world constraints faster than static optimization models.,"Carrier calls, texts, and manual route notes remain central to live execution.","Network state changes in real time and often depends on partner data that is late, partial, or nonstandard. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/midstream-coordination.md
Network Planning and Capital Management,Planning and Allocation,Network Infrastructure Operations,Broadcasting and telecommunications,1,SF-04,Human Judgment Under Incomplete Information,SF-06 | SF-08,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04 | SF-06 | SF-08,Human Judgment Under Incomplete Information | Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps,SF-04:21.5 | SF-06:13.0 | SF-08:8.0,SF-04:21.5 | SF-06:13.0 | SF-08:8.0 | SF-03:6.0 | SF-05:3.0 | SF-01:2.0,Technical,"Forecast error and poor allocation create excess cost, missed revenue, and avoidable firefighting.",Planning teams spend time rebuilding assumptions and chasing sign-off across functions.,Planners still decide which signals to trust and when the model output does not fit local reality.,"Scenario analysis and negotiation happen in spreadsheets, slides, and side conversations.","The hard problem is not math alone; it is aligning noisy signals, local constraints, and organizational trust. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/network-planning-and-capital-management.md
Network and Schedule Planning,Network and Transportation Operations,Transportation Network Operations,Air transportation,1,SF-06,Plan vs. Reality Divergence,SF-08 | SF-03,Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06 | SF-08 | SF-03,Plan vs. Reality Divergence | Multi-Party Trust and Dependency Gaps | Decision Context Escapes the Record,SF-06:18.0 | SF-08:13.5 | SF-03:6.0,SF-06:18.0 | SF-08:13.5 | SF-03:6.0 | SF-04:5.0 | SF-01:1.0 | SF-05:1.0,Technical,"The biggest leaks are empty capacity, bad routing, detention, and poor network utilization.","Dispatchers lose time chasing status, making call-based updates, and rerouting around late disruptions.",Controllers interpret service priorities and real-world constraints faster than static optimization models.,"Carrier calls, texts, and manual route notes remain central to live execution.","Network state changes in real time and often depends on partner data that is late, partial, or nonstandard. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/network-and-schedule-planning.md
Night Audit and Owner Reporting,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,1,SF-02,Cross-System Reconciliation,SF-01 | SF-03,Exception-Path Breakdown | Decision Context Escapes the Record,SF-02 | SF-01 | SF-03,Cross-System Reconciliation | Exception-Path Breakdown | Decision Context Escapes the Record,SF-02:23.5 | SF-01:16.0 | SF-03:14.0,SF-02:23.5 | SF-01:16.0 | SF-03:14.0 | SF-04:11.0 | SF-08:4.0 | SF-07:2.0,Legacy Architecture,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 4 systems-of-record categories.,knowledge/research/workflow-library/workflows/night-audit-and-owner-reporting.md
Operational Recovery and Disruption Management,Network and Transportation Operations,Transportation Network Operations,Air transportation,1,SF-03,Decision Context Escapes the Record,SF-01 | SF-04,Exception-Path Breakdown | Human Judgment Under Incomplete Information,SF-03 | SF-01 | SF-04,Decision Context Escapes the Record | Exception-Path Breakdown | Human Judgment Under Incomplete Information,SF-03:12.0 | SF-01:11.0 | SF-04:9.0,SF-03:12.0 | SF-01:11.0 | SF-04:9.0 | SF-08:7.0 | SF-06:6.0 | SF-05:1.0,Technical,"Poor visibility turns small exceptions into claims, missed commitments, and expensive recoveries.",Teams spend time validating whether the exception signal is real and who is best positioned to act.,Exception severity and customer impact still require contextual interpretation.,"Teams fall back to calls, partner portals, and spreadsheets when telemetry is incomplete or late.","Visibility tools have improved, but cross-party event quality and actionability remain inconsistent. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/operational-recovery-and-disruption-management.md
Order Capture and Payment Processing,Customer and Experience Operations,Retail and Service Commerce,Other retail,1,SF-01,Exception-Path Breakdown,SF-04 | SF-03,Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-01 | SF-04 | SF-03,Exception-Path Breakdown | Human Judgment Under Incomplete Information | Decision Context Escapes the Record,SF-01:15.0 | SF-04:9.0 | SF-03:6.0,SF-01:15.0 | SF-04:9.0 | SF-03:6.0 | SF-02:5.5,Legacy Architecture,"Leakage appears through shrink, tender errors, bad overrides, abandoned carts, and loyalty mistakes.","Teams spend time on line delays, exception handling, and end-of-day balancing.",Frontline staff still decide how to recover failures and apply judgment-based overrides.,"Exception handling moves into notes, supervisor conversations, and manual balancing sheets.","Core POS is mature, but live edge cases and the downstream reconciliation burden remain stubbornly human. It typically spans 1 operating-system context and 4 systems-of-record categories.",knowledge/research/workflow-library/workflows/order-capture-and-payment-processing.md
Order Management and Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control | Distribution and Trade Operations,Wholesale trade | Chemical products | Primary metals,3,SF-01,Exception-Path Breakdown,SF-03 | SF-06,Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01 | SF-03 | SF-06,Exception-Path Breakdown | Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01:14.0 | SF-03:11.0 | SF-06:6.0,SF-01:14.0 | SF-03:11.0 | SF-06:6.0 | SF-04:3.0 | SF-02:1.0 | SF-05:1.0,Legacy Architecture,"Leakage shows up in split orders, mispicks, returns, expedites, and fulfillment promises that outrun actual capacity.","Teams chase inventory truth, release status, and downstream transport updates across systems.","Operators still decide how to recover shortages, prioritize customers, and manage substitutions.","Exception handling often happens through email, calls, and local trackers outside the formal order flow.","Order orchestration spans inventory, warehouse, transport, and customer systems with different clocks and constraints. It typically spans 2 operating-system contexts and 8 systems-of-record categories.",knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
Order Orchestration and Fulfillment,Delivery and Service Execution,Retail and Service Commerce,General merchandise stores,1,SF-01,Exception-Path Breakdown,SF-03 | SF-06,Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01 | SF-03 | SF-06,Exception-Path Breakdown | Decision Context Escapes the Record | Plan vs. Reality Divergence,SF-01:14.0 | SF-03:11.0 | SF-06:6.0,SF-01:14.0 | SF-03:11.0 | SF-06:6.0 | SF-04:3.0 | SF-02:1.0 | SF-05:1.0,Legacy Architecture,"Leakage shows up in split orders, mispicks, returns, expedites, and fulfillment promises that outrun actual capacity.","Teams chase inventory truth, release status, and downstream transport updates across systems.","Operators still decide how to recover shortages, prioritize customers, and manage substitutions.","Exception handling often happens through email, calls, and local trackers outside the formal order flow.","Order orchestration spans inventory, warehouse, transport, and customer systems with different clocks and constraints. It typically spans 1 operating-system context and 5 systems-of-record categories.",knowledge/research/workflow-library/workflows/order-orchestration-and-fulfillment.md
Outage and Regulatory Management,"Risk, Compliance, and Reporting",Network Infrastructure Operations,Broadcasting and telecommunications,1,SF-07,Compliance and Evidence Burden,SF-03 | SF-01,Decision Context Escapes the Record | Exception-Path Breakdown,SF-07 | SF-03 | SF-01,Compliance and Evidence Burden | Decision Context Escapes the Record | Exception-Path Breakdown,SF-07:26.0 | SF-03:12.0 | SF-01:7.0,SF-07:26.0 | SF-03:12.0 | SF-01:7.0 | SF-02:6.0 | SF-04:4.0 | SF-08:1.5,Regulatory,"Late or weak reporting creates fines, reserve exposure, rework, and management blind spots.","Teams manually stitch files, request attestations, and chase evidence for every cycle.","Control owners still decide what is material, what is remediated, and what can be tolerated temporarily.","Supporting evidence sits in attachments, spreadsheets, emails, and external filing systems.","The form of the report may be standardized, but the data lineage and exception handling still are not. It typically spans 1 operating-system context and 3 systems-of-record categories.",knowledge/research/workflow-library/workflows/outage-and-regulatory-management.md
