failure_code,failure_name,assignment_role,failure_score,workflow_name,workflow_family,canonical_operating_system,industry_name,industry_rank_2025_gross_output,dominant_root_cause,systems_of_record_categories,workflow_document
SF-06,Plan vs. Reality Divergence,Secondary,6.0,Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts",21,Legacy Architecture,ERP | PLM and Engineering Design | Manufacturing Execution System | Supply Chain Planning,knowledge/research/workflow-library/workflows/logistics-and-channel-fulfillment.md
SF-01,Exception-Path Breakdown,Primary,14.0,Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,Legacy Architecture,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/logistics-and-channel-fulfillment.md
SF-03,Decision Context Escapes the Record,Secondary,11.0,Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,Legacy Architecture,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/logistics-and-channel-fulfillment.md
SF-06,Plan vs. Reality Divergence,Secondary,6.0,Logistics and Channel Fulfillment,Delivery and Service Execution,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,Legacy Architecture,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/logistics-and-channel-fulfillment.md
SF-02,Cross-System Reconciliation,Primary,23.5,Loyalty and Settlement Accounting,Finance and Revenue Operations,Transportation Network Operations,Air transportation,42,Legacy Architecture,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/loyalty-and-settlement-accounting.md
SF-01,Exception-Path Breakdown,Secondary,16.0,Loyalty and Settlement Accounting,Finance and Revenue Operations,Transportation Network Operations,Air transportation,42,Legacy Architecture,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/loyalty-and-settlement-accounting.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Loyalty and Settlement Accounting,Finance and Revenue Operations,Transportation Network Operations,Air transportation,42,Legacy Architecture,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/loyalty-and-settlement-accounting.md
SF-02,Cross-System Reconciliation,Primary,23.5,Loyalty and Settlement Management,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",47,Legacy Architecture,Ticketing and Venue Management | POS and Payments | CRM | Revenue Management Platform,knowledge/research/workflow-library/workflows/loyalty-and-settlement-management.md
SF-01,Exception-Path Breakdown,Secondary,16.0,Loyalty and Settlement Management,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",47,Legacy Architecture,Ticketing and Venue Management | POS and Payments | CRM | Revenue Management Platform,knowledge/research/workflow-library/workflows/loyalty-and-settlement-management.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Loyalty and Settlement Management,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations","Amusements, gambling, and recreation industries",47,Legacy Architecture,Ticketing and Venue Management | POS and Payments | CRM | Revenue Management Platform,knowledge/research/workflow-library/workflows/loyalty-and-settlement-management.md
SF-04,Human Judgment Under Incomplete Information,Primary,16.0,Maintenance and Guest Service,Customer and Experience Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Organizational,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/maintenance-and-guest-service.md
SF-01,Exception-Path Breakdown,Secondary,14.0,Maintenance and Guest Service,Customer and Experience Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Organizational,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/maintenance-and-guest-service.md
SF-05,Handoff and Approval Latency,Secondary,10.0,Maintenance and Guest Service,Customer and Experience Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Organizational,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/maintenance-and-guest-service.md
SF-04,Human Judgment Under Incomplete Information,Primary,14.0,Maintenance and Turnaround Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Petroleum and coal products,25,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/maintenance-and-turnaround-management.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Maintenance and Turnaround Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Petroleum and coal products,25,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/maintenance-and-turnaround-management.md
SF-03,Decision Context Escapes the Record,Secondary,8.0,Maintenance and Turnaround Management,Production and Asset Operations,Process Manufacturing and Throughput Control,Petroleum and coal products,25,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/maintenance-and-turnaround-management.md
SF-01,Exception-Path Breakdown,Primary,20.5,Margin and Shrink Management,Finance and Revenue Operations,Retail and Service Commerce,Food and beverage stores,40,Legacy Architecture,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System,knowledge/research/workflow-library/workflows/margin-and-shrink-management.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Margin and Shrink Management,Finance and Revenue Operations,Retail and Service Commerce,Food and beverage stores,40,Legacy Architecture,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System,knowledge/research/workflow-library/workflows/margin-and-shrink-management.md
SF-02,Cross-System Reconciliation,Secondary,10.0,Margin and Shrink Management,Finance and Revenue Operations,Retail and Service Commerce,Food and beverage stores,40,Legacy Architecture,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System,knowledge/research/workflow-library/workflows/margin-and-shrink-management.md
SF-07,Compliance and Evidence Burden,Primary,23.5,"Margin, Safety, and Emissions Reporting","Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Petroleum and coal products,25,Regulatory,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/margin-safety-and-emissions-reporting.md
SF-04,Human Judgment Under Incomplete Information,Secondary,14.0,"Margin, Safety, and Emissions Reporting","Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Petroleum and coal products,25,Regulatory,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/margin-safety-and-emissions-reporting.md
SF-03,Decision Context Escapes the Record,Secondary,10.5,"Margin, Safety, and Emissions Reporting","Risk, Compliance, and Reporting",Process Manufacturing and Throughput Control,Petroleum and coal products,25,Regulatory,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/margin-safety-and-emissions-reporting.md
SF-01,Exception-Path Breakdown,Primary,20.5,"Marketing, Hedging, and Program Reporting",Finance and Revenue Operations,Field Production and Resource Extraction,Farms,26,Legacy Architecture,Farm Management Platform | Precision Agriculture and Telematics,knowledge/research/workflow-library/workflows/marketing-hedging-and-program-reporting.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,"Marketing, Hedging, and Program Reporting",Finance and Revenue Operations,Field Production and Resource Extraction,Farms,26,Legacy Architecture,Farm Management Platform | Precision Agriculture and Telematics,knowledge/research/workflow-library/workflows/marketing-hedging-and-program-reporting.md
SF-02,Cross-System Reconciliation,Secondary,10.0,"Marketing, Hedging, and Program Reporting",Finance and Revenue Operations,Field Production and Resource Extraction,Farms,26,Legacy Architecture,Farm Management Platform | Precision Agriculture and Telematics,knowledge/research/workflow-library/workflows/marketing-hedging-and-program-reporting.md
SF-08,Multi-Party Trust and Dependency Gaps,Primary,14.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Chemical products,16,Economic,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Chemical products,16,Economic,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-01,Exception-Path Breakdown,Secondary,7.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Chemical products,16,Economic,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-08,Multi-Party Trust and Dependency Gaps,Primary,14.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,Economic,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,Economic,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-01,Exception-Path Breakdown,Secondary,7.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Food and beverage and tobacco products,13,Economic,ERP | Supply Chain Planning | Manufacturing Execution System | Industrial Automation and SCADA,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-08,Multi-Party Trust and Dependency Gaps,Primary,14.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Paper products,48,Economic,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Paper products,48,Economic,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-01,Exception-Path Breakdown,Secondary,7.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Paper products,48,Economic,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-08,Multi-Party Trust and Dependency Gaps,Primary,14.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Petroleum and coal products,25,Economic,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Petroleum and coal products,25,Economic,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-01,Exception-Path Breakdown,Secondary,7.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Petroleum and coal products,25,Economic,ERP | Industrial Automation and SCADA | Maintenance Management | Supply Chain Planning,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-08,Multi-Party Trust and Dependency Gaps,Primary,14.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Primary metals,44,Economic,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Primary metals,44,Economic,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-01,Exception-Path Breakdown,Secondary,7.0,Material Sourcing,Sourcing and Supply,Process Manufacturing and Throughput Control,Primary metals,44,Economic,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-08,Multi-Party Trust and Dependency Gaps,Primary,14.0,Material Sourcing,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,Economic,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-03,Decision Context Escapes the Record,Secondary,9.0,Material Sourcing,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,Economic,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-01,Exception-Path Breakdown,Secondary,7.0,Material Sourcing,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,Plastics and rubber products,45,Economic,ERP | Manufacturing Execution System | PLM and Engineering Design | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/material-sourcing.md
SF-01,Exception-Path Breakdown,Primary,12.0,Matter Intake and Conflict Review,"Access, Intake, and Contracting",Professional Services and Matter Management,Legal services,29,Organizational,Document Management | Practice Management and Billing | CRM,knowledge/research/workflow-library/workflows/matter-intake-and-conflict-review.md
SF-03,Decision Context Escapes the Record,Secondary,12.0,Matter Intake and Conflict Review,"Access, Intake, and Contracting",Professional Services and Matter Management,Legal services,29,Organizational,Document Management | Practice Management and Billing | CRM,knowledge/research/workflow-library/workflows/matter-intake-and-conflict-review.md
SF-05,Handoff and Approval Latency,Secondary,10.0,Matter Intake and Conflict Review,"Access, Intake, and Contracting",Professional Services and Matter Management,Legal services,29,Organizational,Document Management | Practice Management and Billing | CRM,knowledge/research/workflow-library/workflows/matter-intake-and-conflict-review.md
SF-04,Human Judgment Under Incomplete Information,Primary,10.0,Medication and Compliance Management,Clinical and Case Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,Behavioral,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/medication-and-compliance-management.md
SF-07,Compliance and Evidence Burden,Secondary,9.0,Medication and Compliance Management,Clinical and Case Operations,Care Delivery and Reimbursement,Nursing and residential care facilities,37,Behavioral,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management,knowledge/research/workflow-library/workflows/medication-and-compliance-management.md
SF-06,Plan vs. Reality Divergence,Primary,10.0,Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,Food and beverage stores,40,Technical,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System,knowledge/research/workflow-library/workflows/merchandising-and-assortment-planning.md
SF-04,Human Judgment Under Incomplete Information,Secondary,6.0,Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,Food and beverage stores,40,Technical,POS and Payments | ERP | Supply Chain Planning | Warehouse Management System,knowledge/research/workflow-library/workflows/merchandising-and-assortment-planning.md
SF-06,Plan vs. Reality Divergence,Primary,10.0,Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,General merchandise stores,43,Technical,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning,knowledge/research/workflow-library/workflows/merchandising-and-assortment-planning.md
SF-04,Human Judgment Under Incomplete Information,Secondary,6.0,Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,General merchandise stores,43,Technical,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning,knowledge/research/workflow-library/workflows/merchandising-and-assortment-planning.md
SF-06,Plan vs. Reality Divergence,Primary,10.0,Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,Other retail,7,Technical,Commerce Platform | ERP | Order Management System | Warehouse Management System,knowledge/research/workflow-library/workflows/merchandising-and-assortment-planning.md
SF-04,Human Judgment Under Incomplete Information,Secondary,6.0,Merchandising and Assortment Planning,Planning and Allocation,Retail and Service Commerce,Other retail,7,Technical,Commerce Platform | ERP | Order Management System | Warehouse Management System,knowledge/research/workflow-library/workflows/merchandising-and-assortment-planning.md
SF-01,Exception-Path Breakdown,Primary,20.5,Meter-to-Cash,Finance and Revenue Operations,Network Infrastructure Operations,Utilities,24,Legacy Architecture,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,knowledge/research/workflow-library/workflows/meter-to-cash.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Meter-to-Cash,Finance and Revenue Operations,Network Infrastructure Operations,Utilities,24,Legacy Architecture,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,knowledge/research/workflow-library/workflows/meter-to-cash.md
SF-02,Cross-System Reconciliation,Secondary,10.0,Meter-to-Cash,Finance and Revenue Operations,Network Infrastructure Operations,Utilities,24,Legacy Architecture,Utility Operations and Billing | Maintenance Management | Industrial Automation and SCADA | ERP,knowledge/research/workflow-library/workflows/meter-to-cash.md
SF-06,Plan vs. Reality Divergence,Primary,18.0,Midstream Coordination,Network and Transportation Operations,Field Production and Resource Extraction,Oil and gas extraction,32,Technical,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP,knowledge/research/workflow-library/workflows/midstream-coordination.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,13.5,Midstream Coordination,Network and Transportation Operations,Field Production and Resource Extraction,Oil and gas extraction,32,Technical,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP,knowledge/research/workflow-library/workflows/midstream-coordination.md
SF-03,Decision Context Escapes the Record,Secondary,6.0,Midstream Coordination,Network and Transportation Operations,Field Production and Resource Extraction,Oil and gas extraction,32,Technical,Upstream Energy Management | Production Accounting and Regulatory | Geoscience and Reservoir Management | ERP,knowledge/research/workflow-library/workflows/midstream-coordination.md
SF-04,Human Judgment Under Incomplete Information,Primary,21.5,Network Planning and Capital Management,Planning and Allocation,Network Infrastructure Operations,Broadcasting and telecommunications,18,Technical,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/network-planning-and-capital-management.md
SF-06,Plan vs. Reality Divergence,Secondary,13.0,Network Planning and Capital Management,Planning and Allocation,Network Infrastructure Operations,Broadcasting and telecommunications,18,Technical,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/network-planning-and-capital-management.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,8.0,Network Planning and Capital Management,Planning and Allocation,Network Infrastructure Operations,Broadcasting and telecommunications,18,Technical,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/network-planning-and-capital-management.md
SF-06,Plan vs. Reality Divergence,Primary,18.0,Network and Schedule Planning,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Technical,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/network-and-schedule-planning.md
SF-08,Multi-Party Trust and Dependency Gaps,Secondary,13.5,Network and Schedule Planning,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Technical,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/network-and-schedule-planning.md
SF-03,Decision Context Escapes the Record,Secondary,6.0,Network and Schedule Planning,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Technical,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/network-and-schedule-planning.md
SF-02,Cross-System Reconciliation,Primary,23.5,Night Audit and Owner Reporting,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Legacy Architecture,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/night-audit-and-owner-reporting.md
SF-01,Exception-Path Breakdown,Secondary,16.0,Night Audit and Owner Reporting,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Legacy Architecture,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/night-audit-and-owner-reporting.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,Night Audit and Owner Reporting,Finance and Revenue Operations,"Venue, Hospitality, and Attendance Operations",Accommodation,36,Legacy Architecture,Property Management System | Reservation and Distribution System | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/night-audit-and-owner-reporting.md
SF-03,Decision Context Escapes the Record,Primary,12.0,Operational Recovery and Disruption Management,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Technical,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/operational-recovery-and-disruption-management.md
SF-01,Exception-Path Breakdown,Secondary,11.0,Operational Recovery and Disruption Management,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Technical,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/operational-recovery-and-disruption-management.md
SF-04,Human Judgment Under Incomplete Information,Secondary,9.0,Operational Recovery and Disruption Management,Network and Transportation Operations,Transportation Network Operations,Air transportation,42,Technical,Airline Operations and Reservations | Revenue Management Platform | ERP,knowledge/research/workflow-library/workflows/operational-recovery-and-disruption-management.md
SF-01,Exception-Path Breakdown,Primary,15.0,Order Capture and Payment Processing,Customer and Experience Operations,Retail and Service Commerce,Other retail,7,Legacy Architecture,Commerce Platform | ERP | Order Management System | Warehouse Management System,knowledge/research/workflow-library/workflows/order-capture-and-payment-processing.md
SF-04,Human Judgment Under Incomplete Information,Secondary,9.0,Order Capture and Payment Processing,Customer and Experience Operations,Retail and Service Commerce,Other retail,7,Legacy Architecture,Commerce Platform | ERP | Order Management System | Warehouse Management System,knowledge/research/workflow-library/workflows/order-capture-and-payment-processing.md
SF-03,Decision Context Escapes the Record,Secondary,6.0,Order Capture and Payment Processing,Customer and Experience Operations,Retail and Service Commerce,Other retail,7,Legacy Architecture,Commerce Platform | ERP | Order Management System | Warehouse Management System,knowledge/research/workflow-library/workflows/order-capture-and-payment-processing.md
SF-01,Exception-Path Breakdown,Primary,14.0,Order Management and Fulfillment,Delivery and Service Execution,Distribution and Trade Operations,Wholesale trade,2,Legacy Architecture,ERP | Supply Chain Planning | Warehouse Management System | Order Management System,knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
SF-03,Decision Context Escapes the Record,Secondary,11.0,Order Management and Fulfillment,Delivery and Service Execution,Distribution and Trade Operations,Wholesale trade,2,Legacy Architecture,ERP | Supply Chain Planning | Warehouse Management System | Order Management System,knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
SF-06,Plan vs. Reality Divergence,Secondary,6.0,Order Management and Fulfillment,Delivery and Service Execution,Distribution and Trade Operations,Wholesale trade,2,Legacy Architecture,ERP | Supply Chain Planning | Warehouse Management System | Order Management System,knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
SF-01,Exception-Path Breakdown,Primary,14.0,Order Management and Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control,Chemical products,16,Legacy Architecture,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
SF-03,Decision Context Escapes the Record,Secondary,11.0,Order Management and Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control,Chemical products,16,Legacy Architecture,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
SF-06,Plan vs. Reality Divergence,Secondary,6.0,Order Management and Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control,Chemical products,16,Legacy Architecture,ERP | Industrial Automation and SCADA | Manufacturing Execution System | Maintenance Management,knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
SF-01,Exception-Path Breakdown,Primary,14.0,Order Management and Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control,Primary metals,44,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
SF-03,Decision Context Escapes the Record,Secondary,11.0,Order Management and Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control,Primary metals,44,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
SF-06,Plan vs. Reality Divergence,Secondary,6.0,Order Management and Fulfillment,Delivery and Service Execution,Process Manufacturing and Throughput Control,Primary metals,44,Legacy Architecture,ERP | Industrial Automation and SCADA | Maintenance Management | Shop Floor Control and Quality,knowledge/research/workflow-library/workflows/order-management-and-fulfillment.md
SF-01,Exception-Path Breakdown,Primary,14.0,Order Orchestration and Fulfillment,Delivery and Service Execution,Retail and Service Commerce,General merchandise stores,43,Legacy Architecture,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning,knowledge/research/workflow-library/workflows/order-orchestration-and-fulfillment.md
SF-03,Decision Context Escapes the Record,Secondary,11.0,Order Orchestration and Fulfillment,Delivery and Service Execution,Retail and Service Commerce,General merchandise stores,43,Legacy Architecture,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning,knowledge/research/workflow-library/workflows/order-orchestration-and-fulfillment.md
SF-06,Plan vs. Reality Divergence,Secondary,6.0,Order Orchestration and Fulfillment,Delivery and Service Execution,Retail and Service Commerce,General merchandise stores,43,Legacy Architecture,Commerce Platform | ERP | Order Management System | Warehouse Management System | Supply Chain Planning,knowledge/research/workflow-library/workflows/order-orchestration-and-fulfillment.md
SF-07,Compliance and Evidence Burden,Primary,26.0,Outage and Regulatory Management,"Risk, Compliance, and Reporting",Network Infrastructure Operations,Broadcasting and telecommunications,18,Regulatory,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/outage-and-regulatory-management.md
SF-03,Decision Context Escapes the Record,Secondary,12.0,Outage and Regulatory Management,"Risk, Compliance, and Reporting",Network Infrastructure Operations,Broadcasting and telecommunications,18,Regulatory,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/outage-and-regulatory-management.md
SF-01,Exception-Path Breakdown,Secondary,7.0,Outage and Regulatory Management,"Risk, Compliance, and Reporting",Network Infrastructure Operations,Broadcasting and telecommunications,18,Regulatory,Network OSS/BSS | Billing and Subscription Management | CRM,knowledge/research/workflow-library/workflows/outage-and-regulatory-management.md
SF-01,Exception-Path Breakdown,Primary,20.5,Payer Contract Management,Finance and Revenue Operations,Care Delivery and Reimbursement,Hospitals,12,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/payer-contract-management.md
SF-03,Decision Context Escapes the Record,Secondary,13.0,Payer Contract Management,Finance and Revenue Operations,Care Delivery and Reimbursement,Hospitals,12,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/payer-contract-management.md
SF-02,Cross-System Reconciliation,Secondary,9.0,Payer Contract Management,Finance and Revenue Operations,Care Delivery and Reimbursement,Hospitals,12,Regulatory,EHR and Care Management | Revenue Cycle Management | HCM / Workforce Management | ERP,knowledge/research/workflow-library/workflows/payer-contract-management.md
SF-02,Cross-System Reconciliation,Primary,23.5,"Payroll, Billing, and Reconciliation",Finance and Revenue Operations,Workforce Coordination and Service Operations,Administrative and support services,11,Legacy Architecture,HCM / Workforce Management | CRM | Service Management | ERP,knowledge/research/workflow-library/workflows/payroll-billing-and-reconciliation.md
SF-01,Exception-Path Breakdown,Secondary,16.0,"Payroll, Billing, and Reconciliation",Finance and Revenue Operations,Workforce Coordination and Service Operations,Administrative and support services,11,Legacy Architecture,HCM / Workforce Management | CRM | Service Management | ERP,knowledge/research/workflow-library/workflows/payroll-billing-and-reconciliation.md
SF-03,Decision Context Escapes the Record,Secondary,14.0,"Payroll, Billing, and Reconciliation",Finance and Revenue Operations,Workforce Coordination and Service Operations,Administrative and support services,11,Legacy Architecture,HCM / Workforce Management | CRM | Service Management | ERP,knowledge/research/workflow-library/workflows/payroll-billing-and-reconciliation.md
