workflow_name,workflow_family,operating_systems,industries_using_this_workflow,industry_count,objective,trigger,end_outcome,primary_actors,major_decisions,major_handoffs,systems_of_record_involved,where_money_is_lost,where_time_is_lost,where_human_judgment_dominates,where_people_leave_the_system_of_record,what_software_exists_today,why_hasnt_this_been_solved,primary_reason,representative_vendors,researched_vendor_links,validation_status,missing_fields
Service Delivery and Referral Coordination,Clinical and Case Operations,Case Management and Program Administration,Social assistance,1,Advance the active care or case plan safely while documenting enough context for the next accountable action.,"An open care episode or case requires intervention, documentation, or referral follow-through.","The next action, service step, or referral status is updated and visible to the right owner.",clinician or case worker; patient or beneficiary; care coordinator; referral or specialist partner,What intervention or next step is most appropriate now?; Does the current record support safe continuation or escalation?; What coordination gap puts outcome or reimbursement at risk?,"primary record owner -> specialist or downstream service provider; active service -> billing, claims, or reporting team; ongoing case -> supervisor or escalation path",Case Management System | Grant and Program Reporting | Referral Management | CRM,"Leakage appears as duplicated work, missed follow-up, avoidable utilization, and incomplete billable documentation.","Teams repeatedly reconcile status and chase missing clinical, referral, or plan information.","Care appropriateness, urgency, and readiness still depend on expert interpretation.","Critical case context moves through phone calls, referrals, messages, and external portals.","Typical stacks combine Case Management System, Grant and Program Reporting, Referral Management, CRM; representative software in market today includes Netsmart, WellSky, Eccovia, Apricot, Salesforce, Microsoft Dynamics 365 Sales.",Even strong systems of record do not remove the need for contextual coordination across people and organizations. It typically spans 1 operating-system context and 4 systems-of-record categories.,Regulatory,Netsmart; WellSky; Eccovia; Apricot; Salesforce; Microsoft Dynamics 365 Sales; HubSpot CRM; VTS,Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Service Execution,Delivery and Service Execution,Retail and Service Commerce,Food services and drinking places,1,Route and fulfill demand from the right inventory or capacity source with accurate status and exception control.,"An order is confirmed and needs allocation, release, shipment, or return handling.",The order is fulfilled or closed with any exception documented for downstream billing or service teams.,order management team; warehouse or operations staff; customer or channel partner; transport or service partner,"Which inventory, facility, or path should fulfill the order?; What exception requires split shipment, reroute, substitution, or hold?; When is the order complete enough to invoice or close?","order capture -> allocation or warehouse team; warehouse or operations -> transportation or customer; completed order -> billing, returns, or support team",POS and Payments | Restaurant Back Office and Inventory | HCM / Workforce Management,"Leakage shows up in split orders, mispicks, returns, expedites, and fulfillment promises that outrun actual capacity.","Teams chase inventory truth, release status, and downstream transport updates across systems.","Operators still decide how to recover shortages, prioritize customers, and manage substitutions.","Exception handling often happens through email, calls, and local trackers outside the formal order flow.","Typical stacks combine POS and Payments, Restaurant Back Office and Inventory, HCM / Workforce Management; representative software in market today includes Toast POS, Square, Oracle MICROS, NCR Voyix, PAR Technology, Workday Workforce Management.","Order orchestration spans inventory, warehouse, transport, and customer systems with different clocks and constraints. It typically spans 1 operating-system context and 3 systems-of-record categories.",Legacy Architecture,Toast POS; Square; Oracle MICROS; NCR Voyix; PAR Technology; Workday Workforce Management; Deputy; Legion,Toast POS: https://pos.toasttab.com/products/point-of-sale; Workday Workforce Management: https://forms.workday.com/en-us/quick-demos/managing-your-workforce-with-workday-demo/form.html?step=step1_default; Deputy: https://www.deputy.com/; Legion: https://legion.co/en-gb/products/,Complete,
Service Provisioning and Activation,Network and Transportation Operations,Network Infrastructure Operations,Broadcasting and telecommunications,1,"Translate a sold network or platform service into an activated, billable, and supportable live service state.",A service order or change request is approved and ready for technical fulfillment.,"The service is provisioned, activated, and synchronized across support and billing records.",provisioning team; engineering or platform operations; customer-facing account owner; billing or assurance staff,What design or activation path best fits the order and current capacity?; What dependency or exception blocks go-live?; When is the service stable enough to bill and hand to support?,commercial order -> technical provisioning; provisioned service -> assurance or support team; activated service -> billing and customer success,Billing and Subscription Management | Network OSS/BSS | CRM,Delayed activations and bad service-order hygiene push revenue start dates and increase fallout.,Provisioning teams reconcile commercial orders with technical reality and chase cross-system updates.,Engineers and provisioning staff still judge edge-case feasibility and recovery steps.,"Actual root-cause context often lives in tickets, chat threads, and engineering notes outside the order record.","Typical stacks combine Billing and Subscription Management, Network OSS/BSS, CRM; representative software in market today includes Zuora, Amdocs, Oracle Communications, NetSuite, Netcracker, Ericsson.","Commercial, technical, and billing systems still do not share one reliable activation truth in many stacks. It typically spans 1 operating-system context and 3 systems-of-record categories.",Legacy Architecture,Zuora; Amdocs; Oracle Communications; NetSuite; Netcracker; Ericsson; Salesforce CRM; Microsoft Dynamics 365 Sales,Zuora: https://www.zuora.com/products/billing/; Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Service Scheduling and Parts Management,Customer and Experience Operations,Retail and Service Commerce,Motor vehicle and parts dealers,1,"Match a customer need to the right appointment, technician, or part-supported service slot.",A customer requests service or a follow-up intervention must be scheduled.,The appointment or work slot is booked with the right resources and dependencies prepared.,scheduler; customer; field or service team; parts or operations support,"What slot, technician, or resource best fits the request?; Which dependency such as parts or authorization must be secured first?; What issue should be escalated because the standard schedule will fail?","customer request -> scheduler; scheduled job -> field or service team; completed service -> billing, support, or account owner",Loan Origination and Servicing | Maintenance Management | Dealership Management System | CRM,"Leakage appears through low first-time fix, no-shows, deadhead travel, and rescheduling churn.","Schedulers spend time on calendar juggling, parts checks, and customer callbacks.","Experienced schedulers still know which combinations of customer, asset, and worker will actually succeed.","Real-world exceptions are coordinated through calls, texts, and side notes outside the scheduler.","Typical stacks combine Loan Origination and Servicing, Maintenance Management, Dealership Management System, CRM; representative software in market today includes nCino Commercial Lending, nCino, Temenos, Dealertrack, IFS Enterprise Asset Management, Yardi.",The slotting problem is only half the challenge; the other half is local exception management with incomplete visibility. It typically spans 1 operating-system context and 4 systems-of-record categories.,Technical,nCino Commercial Lending; nCino; Temenos; Dealertrack; IFS Enterprise Asset Management; Yardi; ServiceTitan; Oracle Utilities,nCino Commercial Lending: https://www.ncino.com/solutions/commercial-lending?nxtPslug=commercial-loan-origination-system; IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Service-Level Monitoring,Governance and Portfolio Operations,Workforce Coordination and Service Operations,Administrative and support services,1,Allocate capital or shared resources and monitor performance with enough fidelity to drive corrective action.,"A planning cycle, performance review, or governance checkpoint requires an updated view of resource deployment.",Leaders have a current performance view and documented actions for the next operating cycle.,finance or strategy team; business leader; shared-service owner; executive sponsor,Where should capital or scarce support capacity move next?; What underperformance deserves intervention now?; Which metric should guide the next management action?,business-unit data -> central finance or strategy team; management review -> operating owners; approved action -> execution teams and finance tracking,CRM | ERP | HCM / Workforce Management | Service Management,Capital and support resources drift into low-return uses when performance signals are late or noisy.,Review cycles are slowed by manual aggregation and commentary collection.,"Leadership still decides tradeoffs among long-term return, local politics, and near-term operational reality.",Most decisive discussion happens in decks and meetings rather than the planning system itself.,"Typical stacks combine CRM, ERP, HCM / Workforce Management, Service Management; representative software in market today includes Salesforce CRM, Microsoft Dynamics 365 Sales, HubSpot CRM, VTS, Cox Automotive, SAP Cloud ERP.",Shared-service and capital decisions remain cross-functional and politically negotiated rather than purely model-driven. It typically spans 1 operating-system context and 4 systems-of-record categories.,Organizational,Salesforce CRM; Microsoft Dynamics 365 Sales; HubSpot CRM; VTS; Cox Automotive; SAP Cloud ERP; Acumatica Cloud ERP; Oracle,Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/; Workday Workforce Management: https://forms.workday.com/en-us/quick-demos/managing-your-workforce-with-workday-demo/form.html?step=step1_default; Deputy: https://www.deputy.com/; Legion: https://legion.co/en-gb/products/,Complete,
Shared Service Operations,Governance and Portfolio Operations,Enterprise Governance and Shared Services,Management of companies and enterprises,1,Allocate capital or shared resources and monitor performance with enough fidelity to drive corrective action.,"A planning cycle, performance review, or governance checkpoint requires an updated view of resource deployment.",Leaders have a current performance view and documented actions for the next operating cycle.,finance or strategy team; business leader; shared-service owner; executive sponsor,Where should capital or scarce support capacity move next?; What underperformance deserves intervention now?; Which metric should guide the next management action?,business-unit data -> central finance or strategy team; management review -> operating owners; approved action -> execution teams and finance tracking,EPM and Financial Consolidation | ERP | HCM / Workforce Management | Service Management,Capital and support resources drift into low-return uses when performance signals are late or noisy.,Review cycles are slowed by manual aggregation and commentary collection.,"Leadership still decides tradeoffs among long-term return, local politics, and near-term operational reality.",Most decisive discussion happens in decks and meetings rather than the planning system itself.,"Typical stacks combine EPM and Financial Consolidation, ERP, HCM / Workforce Management, Service Management; representative software in market today includes Oracle EPM, Anaplan, Workday, SAP, Acumatica Cloud ERP, Oracle.",Shared-service and capital decisions remain cross-functional and politically negotiated rather than purely model-driven. It typically spans 1 operating-system context and 4 systems-of-record categories.,Organizational,Oracle EPM; Anaplan; Workday; SAP; Acumatica Cloud ERP; Oracle; NetSuite; Infor,Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/; Deputy: https://www.deputy.com/; Legion: https://legion.co/en-gb/products/,Complete,
Shipping and Invoice Reconciliation,Finance and Revenue Operations,Product Manufacturing and Lifecycle Operations,Fabricated metal products,1,"Close the loop between source activity, cash movement, and the official financial record with defensible reconciliation.","Transactions from multiple sources must be balanced, settled, or closed for a period or event.","Balances are reconciled, exceptions are documented, and the official close or settlement state is updated.",accounting or settlement analyst; operations source owner; treasury or payments partner; manager or reviewer,What is the authoritative source when records disagree?; Which exception can be auto-cleared versus requiring investigation?; What threshold is material enough to escalate before close?,"source system -> reconciliation or settlement team; unmatched item -> operations, treasury, or counterparty; resolved balance -> reporting and management review",Manufacturing Execution System | Shop Floor Control and Quality | ERP,"Unmatched items, late close, duplicate settlements, and poor exception control create hidden leakage and working-capital drag.","Analysts spend time matching records manually, collecting support, and rebuilding audit trails.","Materiality, root cause, and acceptable resolution still depend on experienced finance staff.","Exception triage almost always moves into spreadsheets, email, and bank or partner portals.","Typical stacks combine Manufacturing Execution System, Shop Floor Control and Quality, ERP; representative software in market today includes Siemens Opcenter, Rockwell FactoryTalk MES, Plex, Epicor, Rockwell FactoryTalk, JobBOSS.",Reconciliation spans asynchronous systems and low-standardization edge cases that resist full automation. It typically spans 1 operating-system context and 3 systems-of-record categories.,Legacy Architecture,Siemens Opcenter; Rockwell FactoryTalk MES; Plex; Epicor; Rockwell FactoryTalk; JobBOSS; Infor; SAP Cloud ERP,Siemens Opcenter: https://www.siemens.com/en-us/products/opcenter/; Rockwell FactoryTalk MES: https://www.rockwellautomation.com/en-us/products/software/factorytalk/operationsuite/mes.html; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Shop Floor Execution and Quality Management,Production and Asset Operations,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts | Fabricated metal products | Computer and electronic products",3,Run the physical process or line at the required throughput and quality with clear status and escalation control.,"A production run, asset cycle, or operating shift is ready to execute.","Output is produced, status is recorded, and any exception is handed to the right follow-up owner.",operations supervisor; machine or process operator; quality or maintenance staff; planner,What run order or operating mode best fits current conditions?; What issue should stop the line versus be worked around?; When is output acceptable enough to release or continue?,"plan -> line or field operators; execution -> quality or maintenance team; completed output -> logistics, inventory, or finance",Manufacturing Execution System | Supply Chain Planning | PLM and Engineering Design | Shop Floor Control and Quality | ERP,"Scrap, slow cycles, poor yields, and unplanned downtime are the main leakages.","Operators lose time to waiting, restarts, manual data capture, and coordination across shifts.","Supervisors balance throughput, quality, and risk when conditions diverge from the ideal run.","Operational nuance lives in shift notes, whiteboards, and tribal knowledge outside MES and ERP fields.","Typical stacks combine Manufacturing Execution System, Supply Chain Planning, PLM and Engineering Design, Shop Floor Control and Quality, and adjacent specialist systems; representative software in market today includes Siemens Opcenter, Rockwell FactoryTalk MES, Plex, Epicor, Rockwell FactoryTalk, Blue Yonder Integrated Business Planning.","Even with modern MES, the last mile of execution still depends on local conditions and human adaptation. It typically spans 1 operating-system context and 5 systems-of-record categories.",Legacy Architecture,Siemens Opcenter; Rockwell FactoryTalk MES; Plex; Epicor; Rockwell FactoryTalk; Blue Yonder Integrated Business Planning; Kinaxis; o9 Solutions,Siemens Opcenter: https://www.siemens.com/en-us/products/opcenter/; Rockwell FactoryTalk MES: https://www.rockwellautomation.com/en-us/products/software/factorytalk/operationsuite/mes.html; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Sponsorship and Donor Management,"Access, Intake, and Contracting","Venue, Hospitality, and Attendance Operations","Performing arts, spectator sports, museums, and related activities",1,"Convert sponsors, donors, or patrons into committed revenue and managed relationships around an event or institution.","A sponsorship, patronage, or donor opportunity is created or renewed.","The commitment is secured, benefits are tracked, and fulfillment or stewardship actions are handed off.",development or partnerships team; donor or sponsor; finance staff; event or program owner,"Which relationship deserves active cultivation now?; What package, recognition, or benefit structure should be offered?; What follow-up is required to protect renewal likelihood?",relationship owner -> finance or contracting; secured commitment -> program or event operations; post-event outcome -> stewardship and renewal owner,Ticketing and Venue Management | Event and Donor Management | CRM,"Revenue is lost through weak follow-up, inconsistent fulfillment, and poor visibility into renewal risk.","Teams manually coordinate donor history, package details, and fulfillment status across systems and documents.","Relationship strength, timing, and ask strategy are still judged person to person.","Stewardship context lives in notes, conversations, and one-off trackers rather than a complete shared record.","Typical stacks combine Ticketing and Venue Management, Event and Donor Management, CRM; representative software in market today includes Tessitura, Ticketmaster/Live Nation, AudienceView, Accesso, Salesforce, Eventbrite.",The workflow depends heavily on relationship nuance and bespoke package management rather than purely transactional logic. It typically spans 1 operating-system context and 3 systems-of-record categories.,Behavioral,Tessitura; Ticketmaster/Live Nation; AudienceView; Accesso; Salesforce; Eventbrite; Microsoft Dynamics 365 Sales; HubSpot CRM,Tessitura: https://www.tessitura.com/en/Features/Ticketing-Admissions; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Staffing and Capacity Planning,Workforce and Labor Operations,Professional Services and Matter Management,"Miscellaneous professional, scientific, and technical services | Computer systems design and related services",2,"Assign the right person or team to work based on skill, availability, utilization, and current priority.","A new job, matter, project, or shift gap requires labor assignment or reallocation.",Work is assigned to accountable people with utilization and downstream operational implications visible.,staffing manager; team lead; worker; project or service owner,"Who is the best fit for this work now?; What tradeoff between utilization, continuity, and skill depth is acceptable?; When should the work be reassigned or escalated?","demand owner -> staffing function; assignment decision -> worker and manager; work outcome -> billing, payroll, or performance review",Professional Services Automation | CRM | HCM / Workforce Management | ERP | Service Management,"Leakage comes from misstaffing, poor utilization, overqualified labor, and late reassignment.",Managers spend time matching people to work and rebalancing load when priorities shift.,"People assignment depends on context, trust, and tacit knowledge about who can truly handle the work.","Assignment rationale is often managed in calls, chats, and local trackers outside the HCM tool.","Typical stacks combine Professional Services Automation, CRM, HCM / Workforce Management, ERP, and adjacent specialist systems; representative software in market today includes Deltek Polaris, Deltek, Workday, ServiceNow, Salesforce CRM, Microsoft Dynamics 365 Sales.","Skills models help, but actual staffing decisions remain social and context-sensitive. It typically spans 1 operating-system context and 5 systems-of-record categories.",Behavioral,Deltek Polaris; Deltek; Workday; ServiceNow; Salesforce CRM; Microsoft Dynamics 365 Sales; HubSpot CRM; VTS,Deltek Polaris: https://www.deltek.com/products/polaris/; Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617; Deputy: https://www.deputy.com/; Legion: https://legion.co/en-gb/products/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Staffing and Task Management,Workforce and Labor Operations,Professional Services and Matter Management,Legal services,1,"Assign the right person or team to work based on skill, availability, utilization, and current priority.","A new job, matter, project, or shift gap requires labor assignment or reallocation.",Work is assigned to accountable people with utilization and downstream operational implications visible.,staffing manager; team lead; worker; project or service owner,"Who is the best fit for this work now?; What tradeoff between utilization, continuity, and skill depth is acceptable?; When should the work be reassigned or escalated?","demand owner -> staffing function; assignment decision -> worker and manager; work outcome -> billing, payroll, or performance review",Document Management | Practice Management and Billing | CRM,"Leakage comes from misstaffing, poor utilization, overqualified labor, and late reassignment.",Managers spend time matching people to work and rebalancing load when priorities shift.,"People assignment depends on context, trust, and tacit knowledge about who can truly handle the work.","Assignment rationale is often managed in calls, chats, and local trackers outside the HCM tool.","Typical stacks combine Document Management, Practice Management and Billing, CRM; representative software in market today includes iManage, NetDocuments, Litera, Thomson Reuters Elite, Clio, Salesforce CRM.","Skills models help, but actual staffing decisions remain social and context-sensitive. It typically spans 1 operating-system context and 3 systems-of-record categories.",Behavioral,iManage; NetDocuments; Litera; Thomson Reuters Elite; Clio; Salesforce CRM; Microsoft Dynamics 365 Sales; HubSpot CRM,Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617,Complete,
Store Labor Execution,Workforce and Labor Operations,Retail and Service Commerce,General merchandise stores,1,"Publish and maintain a near-term labor schedule that covers demand, skills, and compliance constraints.","A shift pattern, service forecast, or operational change requires schedule creation or adjustment.","Workers know where to be, managers know coverage, and actual changes can flow into payroll and performance systems.",scheduler; frontline manager; worker; HR or payroll partner,"Who should work which shift or route?; How should shortages, absences, or overtime risk be handled?; When is a local override justified despite the planning rule?","forecast -> scheduler; published schedule -> workers and managers; actual changes -> payroll, billing, or service review",Order Management System | Supply Chain Planning | Commerce Platform | Warehouse Management System | ERP,"Overtime, uncovered demand, idle time, and payroll corrections are the core leaks.","Schedulers constantly rework the plan around callouts, fairness concerns, and compliance rules.",Managers know who can actually handle the work and what informal tradeoffs will hold the operation together.,"The live schedule lives in texts, calls, and local shift notes once the day starts moving.","Typical stacks combine Order Management System, Supply Chain Planning, Commerce Platform, Warehouse Management System, and adjacent specialist systems; representative software in market today includes Manhattan ActiveOrder, Manhattan Associates, Salesforce Commerce Cloud, Oracle Retail, Blue Yonder Integrated Business Planning, Kinaxis.",Workforce systems solve the baseline but not the velocity of same-day human exceptions. It typically spans 1 operating-system context and 5 systems-of-record categories.,Behavioral,Manhattan ActiveOrder; Manhattan Associates; Salesforce Commerce Cloud; Oracle Retail; Blue Yonder Integrated Business Planning; Kinaxis; o9 Solutions; Blue Yonder,Manhattan ActiveOrder: https://www.manh.com/solutions/omnichannel-software-solutions/order-management-system; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Student Service and Retention Management,Customer and Experience Operations,Education Delivery and Administration,Educational services,1,"Preserve profitable relationships by identifying risk early and executing the right renewal, retention, or remarketing action.","A contract, account, subscriber, or customer relationship shows renewal timing or churn risk.","The relationship is renewed, recovered, remarketed, or exited with a clear ownership path.",account owner; customer success or retention team; customer; commercial approver,"Is the relationship healthy enough to renew as is?; What price, package, or intervention is worth offering?; When should the account be saved, reshaped, or allowed to churn?","usage or performance signals -> account owner; retention motion -> pricing or finance review; renewed account -> delivery, support, or billing team",Learning Management System | Student Information System | ERP | HCM / Workforce Management,"Late risk detection, weak expansion discipline, and reactive renewal handling erode retention economics.","Teams assemble context manually across service records, invoices, and relationship notes before every renewal conversation.","Renewal strategy depends on relationship strength, future potential, and nuanced commercial tradeoffs.","The decisive conversations happen in calls, emails, and side planning decks outside the system of record.","Typical stacks combine Learning Management System, Student Information System, ERP, HCM / Workforce Management; representative software in market today includes Canvas LMS, D2L Brightspace, Blackboard, Ellucian Student, PowerSchool, Workday Student.",Signals are fragmented and the most important retention decisions are strategic rather than purely operational. It typically spans 1 operating-system context and 4 systems-of-record categories.,Behavioral,Canvas LMS; D2L Brightspace; Blackboard; Ellucian Student; PowerSchool; Workday Student; SAP Cloud ERP; Acumatica Cloud ERP,Canvas LMS: https://www.instructure.com/canvas; D2L Brightspace: https://www.d2l.com/brightspace/; Ellucian Student: https://www.ellucian.com/student; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/; Deputy: https://www.deputy.com/; Legion: https://legion.co/en-gb/products/,Complete,
Subscription and License Management,Finance and Revenue Operations,"IP, Subscription, and Rights Management","Publishing industries, except internet (includes software)",1,"Translate recurring usage, entitlements, or contracted service into accurate recurring bills and renewal-ready account records.","A subscription period closes, usage accrues, or a contract event changes what should be billed.","The account reflects the correct bill, entitlement state, and next renewal or support action.",billing operations team; customer success or account owner; finance partner; customer,"What contract, usage, or entitlement state should drive the bill?; Which exception requires manual correction or customer communication?; What change should flow into renewal or expansion planning?",product or usage systems -> billing operations; billing issue -> support or account owner; finalized bill -> finance close and renewal tracking,Billing and Subscription Management | CRM | ERP | Service Management,"Leakage comes from usage mismatch, wrong entitlements, stale contract data, and manual credits.","Teams spend time reconciling subscription state across CRM, billing, and service systems.","Operators still decide how to resolve exceptions, bundle edge cases, and preserve the relationship during disputes.","Important contract and exception context lives in tickets, email, and account notes outside the billing platform.","Typical stacks combine Billing and Subscription Management, CRM, ERP, Service Management; representative software in market today includes Zuora, Amdocs, Oracle Communications, NetSuite, Salesforce CRM, Microsoft Dynamics 365 Sales.","Recurring billing is structurally automatable, but entitlement logic and exception-heavy account transitions remain messy. It typically spans 1 operating-system context and 4 systems-of-record categories.",Legacy Architecture,Zuora; Amdocs; Oracle Communications; NetSuite; Salesforce CRM; Microsoft Dynamics 365 Sales; HubSpot CRM; VTS,Zuora: https://www.zuora.com/products/billing/; Salesforce CRM: https://www.salesforce.com/crm/; Microsoft Dynamics 365 Sales: https://www.microsoft.com/en-us/dynamics-365/products/sales; HubSpot CRM: https://www.hubspot.com/products/crm?gh_jid=5988617; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Supplier Coordination and Compliance,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,Other transportation equipment,1,"Maintain supplier or subcontractor performance, readiness, and compliance so upstream plans can translate into reliable execution.","A supplier relationship must be scheduled, coordinated, or reviewed against active operating requirements.","The external partner is committed, compliant, and visible in the delivery plan.",supplier manager or buyer; supplier or subcontractor; operations or project owner; quality or compliance staff,Which external partner should be trusted with this scope now?; What compliance or readiness gap must be closed before work starts?; When is a partner issue severe enough to replace or escalate?,"project or production demand -> supplier manager; supplier commitment -> field, plant, or project team; performance issue -> quality, finance, or leadership review",Project and Construction Management | PLM and Engineering Design | ERP,"Leakage comes from supplier misses, poor coordination, and weak compliance discipline that forces recovery work.","Teams spend time on follow-up, document checks, and schedule alignment across organizational boundaries.",Partner selection and intervention strategy remain experience-heavy and relationship-driven.,"Actual supplier coordination lives in calls, emails, and shared trackers beyond the formal procurement record.","Typical stacks combine Project and Construction Management, PLM and Engineering Design, ERP; representative software in market today includes Procore, Procore Financial Management, Autodesk Construction Cloud, Oracle Primavera, Siemens Teamcenter, Dassault 3DEXPERIENCE.",Structured supplier master data is not the same as reliable day-to-day execution behavior. It typically spans 1 operating-system context and 3 systems-of-record categories.,Legacy Architecture,Procore; Procore Financial Management; Autodesk Construction Cloud; Oracle Primavera; Siemens Teamcenter; Dassault 3DEXPERIENCE; PTC Windchill; Cadence,Procore: https://www.procore.com/what-is-procore; Procore Financial Management: https://www.procore.com/financial-management; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
Supplier Scheduling and Procurement,Sourcing and Supply,Product Manufacturing and Lifecycle Operations,"Motor vehicles, bodies and trailers, and parts | Machinery | Electrical equipment, appliances, and components",3,"Maintain supplier or subcontractor performance, readiness, and compliance so upstream plans can translate into reliable execution.","A supplier relationship must be scheduled, coordinated, or reviewed against active operating requirements.","The external partner is committed, compliant, and visible in the delivery plan.",supplier manager or buyer; supplier or subcontractor; operations or project owner; quality or compliance staff,Which external partner should be trusted with this scope now?; What compliance or readiness gap must be closed before work starts?; When is a partner issue severe enough to replace or escalate?,"project or production demand -> supplier manager; supplier commitment -> field, plant, or project team; performance issue -> quality, finance, or leadership review",Manufacturing Execution System | Maintenance Management | Supply Chain Planning | PLM and Engineering Design | Shop Floor Control and Quality | ERP,"Leakage comes from supplier misses, poor coordination, and weak compliance discipline that forces recovery work.","Teams spend time on follow-up, document checks, and schedule alignment across organizational boundaries.",Partner selection and intervention strategy remain experience-heavy and relationship-driven.,"Actual supplier coordination lives in calls, emails, and shared trackers beyond the formal procurement record.","Typical stacks combine Manufacturing Execution System, Maintenance Management, Supply Chain Planning, PLM and Engineering Design, and adjacent specialist systems; representative software in market today includes Siemens Opcenter, Rockwell FactoryTalk MES, Plex, Epicor, Rockwell FactoryTalk, IFS Enterprise Asset Management.",Structured supplier master data is not the same as reliable day-to-day execution behavior. It typically spans 1 operating-system context and 6 systems-of-record categories.,Legacy Architecture,Siemens Opcenter; Rockwell FactoryTalk MES; Plex; Epicor; Rockwell FactoryTalk; IFS Enterprise Asset Management; Yardi; ServiceTitan,Siemens Opcenter: https://www.siemens.com/en-us/products/opcenter/; Rockwell FactoryTalk MES: https://www.rockwellautomation.com/en-us/products/software/factorytalk/operationsuite/mes.html; IFS Enterprise Asset Management: https://www.ifs.com/en/products/alm/eam; Blue Yonder Integrated Business Planning: https://blueyonder.com/solutions/supply-chain-planning/integrated-business-planning; Kinaxis: https://www.kinaxis.com/en; o9 Solutions: https://o9solutions.com/; SAP Cloud ERP: https://www.sap.com/products/erp.html?dfa=1&gad=1; Acumatica Cloud ERP: https://www.acumatica.com/cloud-erp-software/,Complete,
